,password,name,complaints
user1,12345,Olivia Bennett,"{'accessories': {'prod15': 'Low', 'prod19': 'Low', 'prod66': 'Medium'}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user2,12345,Liam Carter,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user3,12345,Sophia Anderson,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user4,12345,Noah Patel,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user5,12345,Ava Johnson,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user6,12345,Ethan Martinez,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user7,12345,Isabella Thompson,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user8,12345,Aiden Davis,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {'prod78': 'Low'}, 'bakery': {'prod88': 'Highest'}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user9,12345,Mia Walker,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user10,12345,Jackson Wright,"{'accessories': {'prod72': 'Highest'}, 'baby_clothing': {}, 'baby_gear': {'prod72': 'Highest'}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user11,12345,Emma Williams,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
user12,12345,Lucas Rodriguez,"{'accessories': {}, 'baby_clothing': {}, 'baby_gear': {}, 'bakery': {}, 'bath_and_body': {}, 'bedroom': {}, 'beverages': {}, 'cameras': {}, 'children_clothing': {}, 'climate_control': {}, 'dairy_and_eggs': {}, 'diapers': {}, 'dining_room': {}, 'entertainment': {}, 'feeding_essentials': {}, 'feminine_care': {}, 'first_aid': {}, 'fitness_equipment': {}, 'footwear': {}, 'fragrances': {}, 'fresh_products': {}, 'frozen_foods': {}, 'gaming': {}, 'haircare': {}, 'headphones': {}, 'healthy_snacks': {}, 'health_and_safety': {}, 'home_cleaning': {}, 'home_decor': {}, 'hygiene': {}, 'jewelry': {}, 'kids': {}, 'kitchen_appliances': {}, 'laptops': {}, 'laundry': {}, 'living_room': {}, 'maternity_and_pregnancy': {}, 'meat_and_sea_food': {}, 'medical_supplies': {}, 'mens_clothing': {}, 'mens_grooming': {}, 'mobiles': {}, 'nursery_and_bedding': {}, 'office': {}, 'oral_care': {}, 'outdoor': {}, 'outerwear': {}, 'pantry': {}, 'personal_care': {}, 'personal_care_products': {}, 'personal_hygiene': {}, 'skincare': {}, 'small_kitchen': {}, 'smart_home': {}, 'snacks': {}, 'sports': {}, 'sportswear': {}, 'storage': {}, 'styling': {}, 'televisions': {}, 'toys_and_games': {}, 'vitamins_and_supplements': {}, 'watches': {}, 'womens_clothing': {}}"
